Character1,Character2,Narrative,sentiment
﻿BELLATRIX,HARRY,﻿Show me.,
﻿BELLATRIX,NARCISSA,﻿Get Draco.,
﻿BELLATRIX,LUCIUS,"﻿Just sit back and watch, Lucius.
Hm? Pour yourself another glass of wine.",
﻿BELLATRIX,﻿SCABIOR,﻿Where'd you find them?,
﻿BELLATRIX,﻿SCABIOR,"﻿Lovely scarf, Scabior. Though I'm not sure it's your color.",
﻿BELLATRIX,﻿SCABIOR,﻿You don't say.,
﻿BELLATRIX,﻿SCABIOR,"﻿Fancy her, do you, Scabior? Can't say I blame you. Maybe we'll work out a little reward for you, hm? That is, assuming all is as it appears. Ah, Draco. Come here, darling.",
﻿BELLATRIX,DRACO,"﻿My friends here say they've got Harry Potter. Seeing as he's an old school chum of yours, I thought you could confirm the fact for us.",
﻿BELLATRIX,DRACO,﻿Well...?,
﻿BELLATRIX,﻿SCABIOR,﻿Of course not. Narcissa. Tend to your husband.,
﻿BELLATRIX,DRACO,"﻿Don't be shy, sweetheart. Get up nice and close.",
﻿BELLATRIX,﻿SCABIOR,"﻿What is wrong with his face, Scabior?",
﻿BELLATRIX,﻿SCABIOR,﻿Or ran into a Stinging Jinx.,
﻿BELLATRIX,HERMIONE,"﻿Was it you, dearie? Give me her wand. We'll see what the last spell was. ﻿What is that?",
﻿BELLATRIX,﻿SNATCHER,﻿Where did you get that!,
﻿BELLATRIX,﻿SCABIOR,﻿Go. Go!,
﻿BELLATRIX,﻿WORMTAIL,﻿Wormtail. Put these two in the cellar. I want to have a little conversation with this one. Girl to girl.,
﻿BELLATRIX,﻿OLLIVANDER,﻿This sword is meant to be in my vault at Gringotts. How did you get it?,
﻿BELLATRIX,﻿OLLIVANDER,﻿Liar. What else did you take?,
﻿BELLATRIX,﻿OLLIVANDER,﻿I'm going to ask you once again: what else did you and your friends take from my vault!,
﻿BELLATRIX,GRIPHOOK,﻿Well?,
﻿BELLATRIX,GRIPHOOK,﻿Perhaps it just walked out on its own then.,
﻿BELLATRIX,GRIPHOOK,﻿Liar! You can't deceive me!,
﻿BELLATRIX,GOBLIN,"﻿Consider yourself lucky, Goblin. The same won't be said for this one.",
﻿BELLATRIX,HARRY,﻿Stop or she dies!,
﻿BELLATRIX,RON,﻿Drop your wands. ﻿I said drop them!,
﻿BELLATRIX,DRACO,"﻿Pick them up, Draco. Now! Well, well, look what we have here. Harry Potter. All bright, shiny and new again. Just in time for the Dark Lord.﻿﻿Call him, Draco.",
﻿BELLATRIX,HARRY,﻿You dirty little monkey! You could have killed me!,
﻿BELLATRIX,NARCISSA,"﻿For God's sake, Cissy, you've got a wand! Use it!",
﻿BELLATRIX,LUNA,﻿How dare you take a witch's wand. How dare you defy your masters.,
﻿BELLATRIX,RON,"Well, how do I look?",
﻿BELLATRIX,RON,"Oh dear, I missed a spot, didn't I?	Hold still...Hermione, poises her wand tip over the bit of ginger pushing through the brown of Ron's hair",
﻿BELLATRIX,WARLOCK,Good morning.,
﻿BELLATRIX,AGED GOBLIN,I hardly think that will be necessary,
﻿BELLATRIX,TALL GOBLIN,I don't like to be kept waiting.,
﻿BELLATRIX,TALL GOBLIN,"He's with me, (with utter disdain)As difficult as that may be to imagine.",
﻿BELLATRIX,RON,And why should I do that?,
﻿BELLATRIX,RON,Shut it! You. Goblin. Come with me.,
﻿BELLATRIX,BOGROD,"No, I most certainly do not understand --",
﻿BELLATRIX,VOLDEMORT,"My lord, let me help you",
﻿BELLATRIX,NARCISSA,The boy. Is he dead?,
﻿BELLATRIX,VOLDEMORT,Someone has to do the washing.,
﻿BELLATRIX,WEASLEY,"Come on, Granny , give us your best.",
﻿BELLATRIX,WEASLEY,"Be happy we took only one , besides It's not like you don't have a spare.",
﻿DEATH EATER #2,HARRY,﻿It's him! He's down there!,
﻿LUCIUS,﻿BELLATRIX,﻿Why Draco?,
﻿LUCIUS,DRACO,"﻿Look close, Draco. If we're the ones who hand Potter over to the Dark Lord, everything will be forgiven. Do you understand?",
﻿LUCIUS,VOLDEMORT,"Forgive me, my Lord, but wouldn't it be more prudent to call off this battle and seek the boy yourself?",
﻿LUCIUS,VOLDEMORT,"Of c-course, my Lord.",
﻿LUCIUS,DRACO,Draco…,
﻿LUCIUS,DRACO,"Draco, don't be stupid",
﻿SCABIOR,﻿BELLATRIX,﻿In the North Forest.,
﻿SCABIOR,﻿BELLATRIX,﻿It's not mine.,
﻿SCABIOR,LUCIUS,"﻿Now, we won't be forgetting who actually caught him, I hope, Mr.Malfoy?",
﻿SCABIOR,﻿BELLATRIX,﻿He came to us that way. I reckon he picked it up in the forest.,
﻿SCABIOR,﻿BELLATRIX,"﻿Are you mad! ﻿How dare you! Release me, woman!",
﻿SNATCHER,﻿BELLATRIX,﻿It was in her bag when we searched her. Reckon it's mine now.,
﻿WORMTAIL,RON,﻿Shut it! You. Goblin. Come with me.,
AGED GOBLIN,﻿BELLATRIX,Identification.,
AGED GOBLIN,﻿BELLATRIX,"Madam Lestrange!	Dear me!	How may I help you today",
AGED GOBLIN,HERMIONE,"I see.	Very well.	Excuse me, won't you?",
AGED GOBLIN,BOGROD,"But... Bogrod, there have been special instructions regarding the Lestrange vault.",
AGED GOBLIN,BOGROD,"Yes, sir, but our instructions are very specific --",
BOGROD,﻿BELLATRIX,"Madam Lestrange.	Would you mind presenting your wand?",
BOGROD,﻿BELLATRIX,"It's the bank's policy. I'm sure you understand, given the current climate --",
BOGROD,HARRY,I'm afraid I must insist.,
BOGROD,AGED GOBLIN,"Very well, Madam Lestrange.	If you will follow me",
BOGROD,AGED GOBLIN,"I'm fully aware of that.	I'm also aware the Lestranges are one of our oldest and most respected families.",
BOGROD,HARRY,"Madam, if you will, I will escort you myself",
BOGROD,GRIPHOOK,What the devil are you all doing down here!,
BOGROD,RON,"Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you ",
BOGROD,HARRY,"Hm?	Oh.	Yes.	Of course.",
DEATH EATER #1,HARRY,"We know you're here, Potter. There's no getting away",
DEATH EATER #1,HARRY,Prehaps you need some convincing,
DRACO,﻿BELLATRIX,﻿I can't... I can't be sure.,
DRACO,﻿BELLATRIX,﻿What's wrong with his face?,
DRACO,RON,Take my hand.Now.,
DRACO,HARRY,"Well, well, what brings you here, Potter?",
DRACO,HARRY,I virtually lived here last year. Remember?,
DRACO,HARRY,You have something of mine. I'd like it back.,
DRACO,HARRY,"It's my mother's. It's very powerful, but it's not the same. It doesn't... understand me. Know what I mean?",
DRACO,HARRY,Give me my wand.,
DRACO,HARRY,Potter!,
GOYLE,DRACO,"C'mon, Draco. Don't be a prat. Just do' im.",
GOYLE,GOYLE,Avada Kedavra!,
GRIPHOOK,﻿BELLATRIX,"﻿I left Gringotts employ many weeks ago, but when I was last in your vault, the sword was there.",
GRIPHOOK,﻿BELLATRIX,"﻿There is no place safer than Gringotts, Madam LeStrange.",
GRIPHOOK,HARRY,﻿Alive.,
